RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
3.9,30,26,28,2,360,11.55,10.62,11.01
5,30.8,25.2,28,2,120,11.51,10.72,11.03
1.8,33,26.5,29.8,2,120,11.45,10.79,11.07
24.4,30.8,24.5,27.7,4,200,11.37,10.93,11.14
25.6,29,24,26.5,5,200,11.42,10.98,11.22
0,29.3,25,27.2,3,180,11.5,10.88,11.1
0,32.5,26.8,29.7,2,180,11.53,10.66,11.02
0.8,32,27,29.5,4,220,11.55,10.62,11.01
0,31.5,27.8,29.7,5,200,11.68,10.62,11.06
17.6,31.6,25.6,28.6,4,200,11.74,10.62,11.09
15.7,30.5,25,27.8,6,200,11.97,10.62,11.14
51.8,29.5,24.8,27.2,6,200,12.01,10.73,11.43
16.5,28,24.8,26.4,6,180,11.9,10.7,11.25
1,31.5,26.4,29,1,180,11.78,10.7,11.18
1.4,32.5,25.2,28.9,4,180,11.61,10.71,11.12
57.6,29.6,22.5,26,4,200,11.42,10.76,11.07
167.8,26.8,22,24.4,3,180,11.3,10.87,11.1
2.5,29.1,24.8,27,4,220,11.4,11,11.15
30.7,31,23.8,27.4,4,200,11.41,10.88,11.12
54,31.5,24.5,28,6,220,11.55,10.96,11.19
8.2,30,25,27.5,4,220,11.61,10.84,11.17
1,30.5,27.5,29,3,200,11.55,10.67,11.07
3.6,29.5,25.5,27.5,4,200,11.56,10.64,11.07
41,30,24,27,5,220,11.6,10.74,11.15
0,30.2,25.2,27.7,5,270,11.77,10.65,11.18
13.8,29.8,23.5,26.7,4,200,11.6,10.65,11.12
0,31.5,26,28.8,4,220,11.62,10.69,11.13
41.4,31,25.5,28.3,5,180,11.59,10.74,11.12
4.4,32,26.5,29.3,3,240,11.52,10.78,11.11
1.4,30,25.5,27.8,4,180,11.45,10.76,11.04
0,32.1,27.5,29.8,3,300,11.27,10.77,11
0,31.4,25.3,28.4,2,90,11.31,10.71,11
0.8,32,26,29,2,180,11.36,10.64,10.99
2.8,31,26,28.5,2,220,11.44,10.63,10.98
0,31,26.5,28.8,2,360,11.47,10.62,10.96
2,30.5,26,28.3,2,180,11.54,10.62,10.98
0,30.5,25.4,28,2,180,11.57,10.62,11
0,32.2,25,28.6,2,270,11.62,10.62,11.02
0,30.1,24.8,27.5,3,140,11.64,10.61,11.03
0,32.4,26,29.2,3,180,11.64,10.62,11.03
0.2,31.3,25.6,28.5,2,270,11.57,10.62,11.01
2,30.8,24.7,27.8,2,220,11.48,10.64,11
4.2,30.3,26.2,28.3,2,200,11.38,10.66,10.98
2.4,32,25.6,28.8,3,360,11.26,10.64,10.96
9.8,31.6,24.8,28.2,2,360,11.36,10.62,10.95
0,33.5,25.8,29.7,2,240,11.41,10.62,10.96
0,33,26,29.5,3,240,11.42,10.62,10.95
0,32.4,26,29.2,3,140,11.46,10.62,10.96
0,32.5,26.5,29.5,2,90,11.47,10.62,10.96
14.8,30.8,25.5,28.2,3,360,11.46,10.62,10.98
8.2,29.5,24,26.8,2,360,11.45,10.62,10.99
16.2,29.2,24.5,26.9,2,40,11.45,10.62,11.02
0.8,31.5,24.5,28,3,200,11.46,10.62,11.06
21.4,28.5,23.5,26,2,60,11.46,10.65,11.09
0,30.3,26.5,28.4,2,220,11.44,10.63,11.06
0,32.5,26.5,29.5,3,180,11.44,10.73,11.08
0,31.4,26.6,29,3,140,11.4,10.8,11.12
0,32.3,26.5,29.4,2,180,11.42,10.72,11.08
0.4,29.8,25,27.4,2,180,11.49,10.63,11.04
10.2,28.8,24.5,26.7,2,340,11.56,10.62,11.02
11.4,32.6,25.4,29,3,90,11.58,10.62,11
0,32,26,29,3,300,11.62,10.62,11.01
0,31.8,25,28.4,3,140,11.65,10.62,11.01
19.6,29.9,25,27.5,3,360,11.58,10.62,11.01
5.3,30.5,24.7,27.6,2,360,11.52,10.62,10.99
4.4,32.8,25.4,29.1,2,40,11.55,10.62,11.02
1.4,30.6,24.5,27.5,2,200,11.46,10.62,11.01
8.6,31.8,25,28.4,2,120,11.4,10.62,11
2.6,31.5,25,28.3,3,360,11.36,10.62,11.01
16.9,29,24.5,26.8,2,360,11.26,10.66,10.98
38,31.5,24,27.8,3,360,11.35,10.66,10.97
177.5,26.8,22.5,24.7,10,340,11.83,10.63,11.1
57.4,27,23.6,25.3,4,120,11.67,10.91,11.23
75,28.5,24.4,26.5,5,160,11.76,10.67,11.18
0,30.6,24.4,27.5,4,200,11.7,10.77,11.16
0.8,32.5,24.6,28.5,2,360,11.6,10.62,11.01
116.7,28.2,22.8,25.5,8,300,11.69,10.62,11.03
51,28.5,23.2,25.9,3,90,11.77,10.67,11.3
20,31.3,25.2,28.3,2,90,11.56,10.63,11.06
3.2,31.6,25.2,28.4,2,120,11.48,10.62,11.05
0,31.5,26.5,29,3,220,11.46,10.66,11.08
5,31.2,25.6,28.4,2,320,11.38,10.67,11.05
4,30.2,25,27.6,2,180,11.29,10.75,11.06
0,32.8,26.5,29.6,3,300,11.3,10.75,11.07
0,32.5,26,29.3,2,20,11.3,10.78,11.04
2.8,32.3,25.5,28.9,4,60,11.42,10.71,11.03
3.2,31,25,28,3,20,11.55,10.63,11.03
7.6,31,24.5,27.8,3,40,11.62,10.62,11
2.8,29.6,25.2,27.4,2,340,11.71,10.62,11.02
0.5,32,24.8,28.4,2,360,11.73,10.62,11
0,33.5,26.4,30,2,90,11.73,10.62,11.03
3.4,30,25,27.5,2,360,11.73,10.62,11.01
0,31,24.8,27.9,2,20,11.66,10.62,11.01
0,31.9,25,28.5,2,360,11.59,10.62,11.01
0,32.5,27,29.8,2,360,11.46,10.62,11
0,31.8,26.7,29.3,1,360,11.32,10.62,11.01
0,31.9,29,30.5,1,220,11.24,10.71,11.04
5.5,31.4,24.5,28,2,220,11.3,10.76,11.01
0,30,26,28,4,360,11.42,10.73,11.01
1.4,31,25.2,28.1,1,300,11.51,10.63,11
1.2,32.5,25.7,29.1,1,220,11.6,10.61,10.99
6.2,31.8,23.8,27.8,3,20,11.64,10.62,11
2.9,30.2,24.1,27.2,5,360,11.68,10.62,11
0,31,25,28,3,360,11.56,10.62,10.97
3.8,30.5,24.5,27.5,5,360,11.58,10.62,10.97
23.4,25.5,22,23.8,5,340,11.57,10.62,10.97
13.8,27.5,23,25.3,3,360,11.54,10.62,10.96
9.2,29.8,24,26.9,2,360,11.48,10.62,10.97
0,30,23.5,26.8,2,60,11.44,10.62,10.99
0,30.5,25,27.8,3,360,11.34,10.62,10.98
0,31,25.2,28.1,4,360,11.21,10.63,10.98
6.8,29.4,23,26.2,4,360,11.26,10.67,10.98
1.2,28.4,23,25.7,4,360,11.32,10.73,10.98
14.4,32,23.4,27.7,2,20,11.46,10.7,10.98
0.4,31.5,25.6,28.5,1,270,11.6,10.62,11
1.8,29.5,26.1,27.8,2,300,11.68,10.6,11.01
5.6,29.5,25,27.3,1,360,11.77,10.62,11.02
0,29.9,25,27.5,1,220,11.79,10.61,11.01
11.2,30.5,25,27.8,2,240,11.78,10.62,11.01
0,33,25.3,29.2,3,360,11.72,10.62,10.99
0,33,25.2,29.1,3,60,11.72,10.62,10.98
0,29.5,25,27.3,1,180,11.6,10.62,10.96
1.8,31,25,28,2,270,11.47,10.62,10.97
0,32.5,25.2,28.9,3,90,11.26,10.62,10.96
0,32.5,24.6,28.5,1,40,11.17,10.68,10.97
0,32.2,25,28.6,2,270,11.3,10.72,10.97
0,31,25,28,2,180,11.36,10.75,10.95
1,31,24.8,27.9,3,270,11.49,10.62,10.96
11.6,31.8,23,27.4,2,360,11.56,10.62,10.95
1.2,30.6,25.2,27.9,3,360,11.59,10.62,10.95
26.4,29.5,23.5,26.5,3,360,11.6,10.61,10.95
0,29.5,23.5,26.5,2,360,11.65,10.62,10.96
22.8,30.8,24.5,27.7,3,240,11.66,10.62,10.98
0.2,31,25,28,2,220,11.65,10.61,10.99
2.8,30.5,24.2,27.4,3,360,11.59,10.62,10.99
0.2,28.5,23.4,26,4,360,11.56,10.62,10.97
0,30.2,23.5,26.9,2,60,11.48,10.62,10.9
0,28.5,22.1,25.3,2,240,11.26,10.61,10.88
0,29.5,23.2,26.4,2,270,11.14,10.62,10.87
0,30,23,26.5,2,340,11.11,10.63,10.9
0,29.5,23.5,26.5,2,360,11.23,10.65,10.9
0,30.3,24,27.2,3,300,11.41,10.72,10.95
0.8,30.6,24.3,27.5,2,270,11.54,10.62,10.95
0,31.2,25,28.1,2,270,11.69,10.61,11
0,31.4,25,28.2,3,240,11.83,10.61,11.03
0,31.5,25.2,28.4,2,270,11.86,10.61,11.02
0,31.5,25,28.3,2,270,11.86,10.62,11.01
0,31.2,26,28.6,2,270,11.79,10.61,10.99
33.2,33,25.4,29.2,3,270,11.71,10.6,10.97
0,30.6,25.3,28,2,40,11.7,10.62,10.94
0,30,24,27,4,360,11.46,10.62,10.88
0,29.5,24.3,26.9,4,60,11.25,10.62,10.86
0,29.5,23,26.3,2,360,11.05,10.62,10.83
0,30.5,24,27.3,2,220,11.1,10.65,10.82
0,30.3,25.1,27.7,2,60,11.2,10.62,10.83
0,28.9,24,26.5,2,270,11.33,10.61,10.87
0,30.2,24,27.1,2,270,11.49,10.6,10.93
0,30.1,24,27,2,90,11.55,10.61,10.93
0,30.8,24.5,27.7,2,240,11.56,10.6,10.93
0,31,24.5,27.8,2,220,11.58,10.6,10.92
0,33.8,25,29.4,2,270,11.63,10.61,10.93
0,33.3,26.3,29.8,3,220,11.58,10.61,10.93
0,32,25.6,28.8,2,240,11.53,10.61,10.92
0,31.2,24.3,27.8,2,340,11.46,10.61,10.89
0,32,26,29,2,40,11.42,10.61,10.87
0,31.2,25.8,28.5,2,180,11.33,10.7,10.98
0,31.5,26,28.8,3,320,11.22,11.22,11.22
0,32.5,26,29.3,3,360,-1,-1,-1
1.2,30,26,28,2,180,11.16,10.22,10.91
1.4,30.5,25.4,28,2,120,11.29,10.62,10.92
14.6,29.2,23.5,26.4,2,360,11.39,10.61,10.91
0,32.6,24,28.3,3,60,11.58,10.61,10.97
0,30.7,25,27.9,2,270,11.69,10.61,11
0,31.5,25,28.3,3,270,11.95,10.61,11.05
0,32.6,25,28.8,3,90,11.74,10.6,10.99
0,32.5,25.6,29,3,360,11.77,10.61,10.95
0.7,28.3,24.8,26.6,2,360,11.58,10.61,10.9
0,31.5,25.3,28.4,2,360,11.45,10.61,10.86
0,32,24.6,28.3,3,20,11.38,10.61,10.87
0,32.4,24.6,28.5,3,360,11.29,10.61,10.88
0,31.5,24.5,28,2,220,11.13,10.64,10.88
0,29.8,24.3,27.1,2,180,11.13,10.64,10.85
0,29.9,24,27,4,360,11.15,10.62,10.83
0,30.8,23.5,27.2,2,360,11.98,10.61,10.89
