RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
3.6,29.5,24.5,27,2,220,11.46,11.25,11.36
0,30.6,26,28.3,3,200,11.44,11.15,11.29
0,31.5,26.5,29,3,240,11.45,11.14,11.24
0,32.6,26.5,29.6,4,220,11.5,11.08,11.24
7,33,28,30.5,3,220,11.54,10.97,11.22
0,32.7,28.1,30.4,3,200,11.58,10.93,11.23
0,32.2,27.5,29.9,4,200,11.62,10.9,11.23
0,32,27.2,29.6,3,200,11.64,10.87,11.22
0,32,27.5,29.8,3,220,11.66,10.86,11.22
9.8,32,26,29,3,240,11.66,10.85,11.23
11,32,26.2,29.1,3,360,11.7,10.94,11.24
26,31.5,24.5,28,2,320,11.64,10.93,11.23
3.9,30,26,28,2,360,11.59,10.94,11.21
5,30.8,25.2,28,2,120,11.54,11.02,11.24
1.8,33,26.5,29.8,2,120,11.5,11.04,11.23
24.4,30.8,24.5,27.7,4,200,11.5,11.12,11.28
25.6,29,24,26.5,5,200,11.52,11.24,11.38
0,29.3,25,27.2,3,180,11.58,10.92,11.23
0,32.5,26.8,29.7,2,180,11.54,10.96,11.2
0.8,32,27,29.5,4,220,11.58,10.87,11.18
0,31.5,27.8,29.7,5,200,11.67,10.82,11.21
17.6,31.6,25.6,28.6,4,200,11.71,10.8,11.22
15.7,30.5,25,27.8,6,200,11.91,10.94,11.36
51.8,29.5,24.8,27.2,6,200,11.96,11.21,11.56
16.5,28,24.8,26.4,6,180,11.91,11.14,11.49
1,31.5,26.4,29,1,180,11.43,11.03,11.19
1.4,32.5,25.2,28.9,4,180,11.62,10.98,11.27
57.6,29.6,22.5,26,4,200,11.47,11.01,11.22
167.8,26.8,22,24.4,3,180,11.6,11.2,11.4
2.5,29.1,24.8,27,4,220,12.22,11.36,11.72
30.7,31,23.8,27.4,4,200,11.58,11.25,11.42
54,31.5,24.5,28,6,220,11.66,11.27,11.48
8.2,30,25,27.5,4,220,11.76,11.31,11.49
1,30.5,27.5,29,3,200,11.67,11.12,11.37
3.6,29.5,25.5,27.5,4,200,11.65,11.05,11.32
41,30,24,27,5,220,11.69,11.2,11.46
0,30.2,25.2,27.7,5,270,11.81,11.07,11.42
13.8,29.8,23.5,26.7,4,200,11.67,11.19,11.39
0,31.5,26,28.8,4,220,11.7,11.09,11.37
41.4,31,25.5,28.3,5,180,11.67,11.09,11.35
4.4,32,26.5,29.3,3,240,11.67,11.11,11.29
1.4,30,25.5,27.8,4,180,11.57,11.12,11.29
0,32.1,27.5,29.8,3,300,11.45,11.11,11.25
0,31.4,25.3,28.4,2,90,11.41,11.06,11.25
0.8,32,26,29,2,180,11.45,11.01,11.24
2.8,31,26,28.5,2,220,11.52,11,11.22
0,31,26.5,28.8,2,360,11.54,10.92,11.2
2,30.5,26,28.3,2,180,11.59,10.89,11.21
0,30.5,25.4,28,2,180,11.61,10.86,11.2
0,32.2,25,28.6,2,270,11.66,10.86,11.22
0,30.1,24.8,27.5,3,140,11.67,10.86,11.23
0,32.4,26,29.2,3,180,11.67,10.87,11.23
0.2,31.3,25.6,28.5,2,270,11.61,10.96,11.25
2,30.8,24.7,27.8,2,220,11.55,10.98,11.23
4.2,30.3,26.2,28.3,2,200,11.47,10.98,11.2
2.4,32,25.6,28.8,3,360,11.38,10.94,11.17
9.8,31.6,24.8,28.2,2,360,11.47,10.92,11.18
0,33.5,25.8,29.7,2,240,11.45,10.88,11.16
0,33,26,29.5,3,240,11.46,10.87,11.14
0,32.4,26,29.2,3,140,11.51,10.85,11.13
0,32.5,26.5,29.5,2,90,11.5,10.84,11.12
14.8,30.8,25.5,28.2,3,360,11.49,10.84,11.14
8.2,29.5,24,26.8,2,360,11.46,10.84,11.2
16.2,29.2,24.5,26.9,2,40,11.47,10.87,11.19
0.8,31.5,24.5,28,3,200,11.47,10.84,11.19
21.4,28.5,23.5,26,2,60,11.49,11.03,11.27
0,30.3,26.5,28.4,2,220,11.48,10.91,11.22
0,32.5,26.5,29.5,3,180,11.46,10.67,11.18
0,31.4,26.6,29,3,140,11.28,11.01,11.12
0,32.3,26.5,29.4,2,180,-1,-1,-1
0.4,29.8,25,27.4,2,180,-1,-1,-1
10.2,28.8,24.5,26.7,2,340,-1,-1,-1
11.4,32.6,25.4,29,3,90,-1,-1,-1
0,32,26,29,3,300,-1,-1,-1
0,31.8,25,28.4,3,140,-1,-1,-1
19.6,29.9,25,27.5,3,360,-1,-1,-1
5.3,30.5,24.7,27.6,2,360,-1,-1,-1
4.4,32.8,25.4,29.1,2,40,-1,-1,-1
1.4,30.6,24.5,27.5,2,200,-1,-1,-1
8.6,31.8,25,28.4,2,120,-1,-1,-1
2.6,31.5,25,28.3,3,360,-1,-1,-1
16.9,29,24.5,26.8,2,360,-1,-1,-1
38,31.5,24,27.8,3,360,-1,-1,-1
177.5,26.8,22.5,24.7,10,340,-1,-1,-1
57.4,27,23.6,25.3,4,120,-1,-1,-1
75,28.5,24.4,26.5,5,160,-1,-1,-1
0,30.6,24.4,27.5,4,200,-1,-1,-1
0.8,32.5,24.6,28.5,2,360,11.58,11.14,11.36
116.7,28.2,22.8,25.5,8,300,11.34,11.28,11.31
51,28.5,23.2,25.9,3,90,12.85,12.44,12.71
20,31.3,25.2,28.3,2,90,11.92,11.67,11.78
3.2,31.6,25.2,28.4,2,120,11.97,11.59,11.77
0,31.5,26.5,29,3,220,11.99,11.61,11.79
5,31.2,25.6,28.4,2,320,11.92,11.57,11.78
4,30.2,25,27.6,2,180,11.87,11.65,11.79
0,32.8,26.5,29.6,3,300,11.84,11.6,11.74
0,32.5,26,29.3,2,20,11.84,11.6,11.71
2.8,32.3,25.5,28.9,4,60,11.9,11.56,11.7
3.2,31,25,28,3,20,11.97,11.53,11.73
7.6,31,24.5,27.8,3,40,12,11.46,11.69
2.8,29.6,25.2,27.4,2,340,12.06,11.46,11.7
0.5,32,24.8,28.4,2,360,12.05,11.4,11.66
0,33.5,26.4,30,2,90,12.05,11.41,11.69
3.4,30,25,27.5,2,360,12.07,11.44,11.69
0,31,24.8,27.9,2,20,12.03,11.43,11.68
0,31.9,25,28.5,2,360,12,11.42,11.67
0,32.5,27,29.8,2,360,11.9,11.46,11.66
0,31.8,26.7,29.3,1,360,11.81,11.48,11.66
0,31.9,29,30.5,1,220,11.75,11.51,11.66
5.5,31.4,24.5,28,2,220,11.77,11.52,11.63
0,30,26,28,4,360,11.84,11.49,11.62
1.4,31,25.2,28.1,1,300,11.89,11.42,11.61
1.2,32.5,25.7,29.1,1,220,11.93,11.38,11.59
6.2,31.8,23.8,27.8,3,20,11.96,11.33,11.6
2.9,30.2,24.1,27.2,5,360,11.96,11.36,11.6
0,31,25,28,3,360,11.91,11.32,11.56
3.8,30.5,24.5,27.5,5,360,11.88,11.29,11.53
23.4,25.5,22,23.8,5,340,11.88,11.28,11.55
13.8,27.5,23,25.3,3,360,11.95,11.4,11.64
9.2,29.8,24,26.9,2,360,11.89,11.38,11.6
0,30,23.5,26.8,2,60,11.85,11.4,11.6
0,30.5,25,27.8,3,360,11.77,11.4,11.59
0,31,25.2,28.1,4,360,11.7,11.4,11.58
6.8,29.4,23,26.2,4,360,11.72,11.42,11.57
1.2,28.4,23,25.7,4,360,11.75,11.47,11.58
14.4,32,23.4,27.7,2,20,11.83,11.43,11.57
0.4,31.5,25.6,28.5,1,270,11.9,11.35,11.57
1.8,29.5,26.1,27.8,2,300,11.96,11.34,11.59
5.6,29.5,25,27.3,1,360,12.01,11.25,11.57
0,29.9,25,27.5,1,220,12.02,11.24,11.55
